Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cape Verde,Cameroon,Central African Republic,Chad,Comoros,DRC,"Congo, Rep",Cote d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1960,2.723615451,0,0.226195578,0.030411414,0.330442816,0.19599999,0,0.614206068,0.112155598,0.313582728,0,3.359404118,0.131731863,0.546203559,0,4.206270352,0.037253333,0,0.035076846,1.610511694,0.141468978,0,1.217230095,0,0,0.791265459,0.034579986,0.1904956,0.401644249,0.673081725,0,0,0.15921343,0.162089564,2.037154742,0,0,0.449526873,4.196174502,0.119000024,0,1.00369237,0.012012025,0.322151961,0.180459937,8.748596501,0,1.126364162,2.651729807,0.171057069,0.866155429,0.423145605,0.698739721,1.052990485
1961,2.434747056,0,0.235668221,0.032902613,0.350247234,0.202999992,0,0.652777608,0.123134583,0.333975336,0,3.086746857,0.151675739,0.618245634,0,4.494575611,0.037253333,0,0.043026043,1.680859514,0.167637907,0,1.302674325,0,0,0.792959473,0.035699986,0.1839209,0.443905612,0.699161945,0,0,0.15921343,0.191757729,2.02569354,0,0,0.485785231,4.467287893,0.122000016,0,1.058975257,0.011592024,0.327978758,0.191659914,9.22599631,0,1.222860429,2.826179031,0.178497098,0.866155429,0.441667335,0.682359727,1.096646688
1962,2.001444544,0,0.236434954,0.035644957,0.379567099,0.213500006,0,0.694247864,0.124482774,0.357635713,0,3.779841429,0.16652124,0.645284474,0,4.035462027,0.037253333,0,0.045927962,1.747566307,0.182796536,0,1.382515654,0,0,0.868111401,0.041859983,0.1918618,0.619725785,0.739286908,0,0,0.164271558,0.197738208,2.379611125,0,0,0.531736599,4.909399176,0.125000008,0,1.085475791,0.012642026,0.342872549,0.203531928,9.813996074,0,1.328259625,3.101589993,0.186745758,0.880027733,0.449158233,0.679279729,1.11760169
1963,2.702982018,0,0.253927697,0.038091843,0.394040667,0.232749998,0,0.718320845,0.129379124,0.371767002,0,6.213185743,0.172233431,0.761047198,0,4.187146232,0.044266667,0,0.054129438,1.825058828,0.154480244,0,1.540797589,0,0,0.926589349,0.047039981,0.2002296,0.892327911,0.759345864,0,0,0.168186297,0.253839558,2.657252578,0,0,0.586294879,5.165590254,0.128,0,1.122139862,0.013923029,0.34870098,0.216145936,10.85419566,0,1.351234926,3.456579293,0.202305865,1.0267376,0.516315231,0.704339719,1.159511793
1964,2.909316435,0,0.269819006,0.041616348,0.410321645,0.260750008,0,0.776650177,0.142025079,0.392247518,0,2.881545273,0.185693725,0.921063327,0,4.709245762,0.051915,0,0.064980554,1.984129186,0.215679855,0.044212081,1.7312962,0,0,0.998759334,0.051939979,0.2189291,1.341395421,0.802482184,0,0,0.224495744,0.218914569,2.798345299,0,0,0.582816396,5.552931319,0.129999994,0,1.188930645,0.015393032,0.372011438,0.229529913,11.95599522,0,1.3882826,3.748840925,0.234572186,1.025866792,0.589247687,0.822639671,1.217138098
1965,3.136284307,0,0.28990868,0.045788696,0.42291679,0.158994963,0,0.814083266,0.150574795,0.416926303,0,4.043901818,0.198318064,0.919771229,0,4.94866754,0.064748333,0,0.070279972,2.159998591,0.226474286,0.044212081,2.053462968,0,0,0.997919321,0.054879978,0.2292608,1.80497968,0.833563473,0,0.275494478,0.255340475,0.230024161,2.94833109,0,0,0.673383511,5.87453765,0.14879998,0,1.210058228,0.015603032,0.35952381,0.243725898,13.06899477,0,1.446869619,3.817226546,0.264505506,0.991047619,0.88450231,1.061199576,1.311435906
1966,3.039859187,0,0.302925235,0.051465655,0.433889766,0.165444571,0,0.851112535,0.157930018,0.432794922,0,4.532660182,0.220613582,1.02410288,0,5.278005612,0.06911,0,0.076859969,2.324466416,0.245849781,0.044212081,2.126300672,0,0,1.164519674,0.056699977,0.2444595,2.312438536,0.900264585,0,0.275494478,0.266533605,0.227534083,2.876401297,0,0,0.702296079,6.366917453,0.124525703,0,1.246908186,0.016443034,0.375630252,0.257375897,14.21139432,0,1.484491676,4.377998825,0.305227595,1.040952381,0.925381492,1.238999505,1.281749603
1967,3.370870376,0,0.306221953,0.058642354,0.450753924,0.178297143,0,0.93617526,0.163820514,0.449826323,0,3.384063372,0.237397428,1.082922725,0,5.605484299,0.072317447,0,0.07475997,2.461762003,0.27154368,0.046695007,1.747187645,0,0,1.232559507,0.059261976,0.2610243,2.726986913,0.956436932,0,0.275494478,0.28261531,0.238439291,3.046345314,0,0,0.665586872,5.203237919,0.159560018,0,1.246480766,0.016632032,0.348895028,0.271781887,15.82139367,0,1.607409539,4.565132048,0.327215844,1.085714286,0.967240655,1.340639464,1.397002112
1968,3.852147027,0,0.326323105,0.066248441,0.460442689,0.1832,0,1.046191218,0.191767442,0.453980096,0,3.909780539,0.251247458,1.281281277,0,5.932242991,0.067514286,0,0.079799968,2.619948865,0.294468564,0.041160066,1.666909518,3.220224608,0.204670551,1.353295459,0.061445975,0.2768207,3.850623095,1.031669637,0,0.343771973,0.311395937,0.206576631,3.271422333,0,0,0.641214226,5.20099792,0.172200018,0.037211826,1.309384862,0.016074028,0.329991597,0.286719885,17.12479315,0,1.677771401,4.895251824,0.341691567,1.214666667,1.037379252,1.573739371,1.479600019
1969,4.257253264,0,0.330748245,0.077361547,0.478298645,0.190205714,0,1.100551489,0.18803921,0.471635622,0,5.03243497,0.265040036,1.361360293,0,6.524455206,0.067225714,0,0.105419958,2.768987372,0.318124701,0.045168072,1.962050556,3.220224608,0.204670551,1.458379417,0.065967974,0.3069618,4.380987481,1.056391056,0,0.339913867,0.295062308,0.221553613,3.651622669,0,0,0.625867985,6.634317346,0.188700037,0.037211826,1.245234931,0.016452028,0.408853541,0.306357285,19.2569923,0,1.847501441,5.142066811,0.37809181,1.289904762,1.168556629,1.92639923,1.747998941
