date,ChatGPT,Gemini (Google),Claude,Perplexity AI,DeepSeek,Midjourney,DALL·E,Stable Diffusion,Runway Gen-2,Sora
2021-12-26,0,0,1,0,0,0,0,0,0,13
2022-01-02,0,0,1,0,0,0,0,0,0,14
2022-01-09,0,0,1,0,0,0,0,0,0,13
2022-01-16,0,0,1,0,0,0,0,0,0,13
2022-01-23,0,0,1,0,0,0,0,0,0,13
2022-01-30,0,0,1,0,0,0,0,0,0,14
2022-02-06,0,0,1,0,0,0,0,0,0,14
2022-02-13,0,0,1,0,0,0,0,0,0,14
2022-02-20,0,0,1,0,0,0,0,0,0,14
2022-02-27,0,0,1,0,0,0,0,0,0,13
2022-03-06,0,0,1,0,0,0,0,0,0,13
2022-03-13,0,0,1,0,0,0,0,0,0,14
2022-03-20,0,0,1,0,0,0,0,0,0,14
2022-03-27,0,0,1,0,0,0,0,0,0,15
2022-04-03,0,0,1,0,0,0,0,0,0,15
2022-04-10,0,0,1,0,0,0,0,0,0,17
2022-04-17,0,0,1,0,0,0,0,0,0,15
2022-04-24,0,0,1,0,0,0,0,0,0,14
2022-05-01,0,0,1,0,0,0,0,0,0,15
2022-05-08,0,0,1,0,0,0,0,0,0,14
2022-05-15,0,0,1,0,0,0,0,0,0,15
2022-05-22,0,0,1,0,0,1,0,0,0,14
2022-05-29,0,0,1,0,0,1,0,0,0,13
2022-06-05,0,0,1,0,0,2,1,0,0,14
2022-06-12,0,0,1,0,0,2,1,0,0,14
2022-06-19,0,0,1,0,0,2,0,0,0,14
2022-06-26,0,0,1,0,0,3,0,0,0,14
2022-07-03,0,0,1,0,0,3,0,0,0,14
2022-07-10,0,0,1,0,0,6,0,0,0,13
2022-07-17,0,0,1,0,0,4,0,0,0,14
2022-07-24,0,0,1,0,0,7,0,0,0,14
2022-07-31,0,0,1,0,0,22,0,0,0,13
2022-08-07,0,0,1,0,0,27,0,1,0,13
2022-08-14,0,0,1,0,0,20,0,2,0,14
2022-08-21,0,0,1,0,0,16,0,7,0,13
