Year,Algeria,Angola,DRC,Cote d'Ivoire,Egypt,Ethiopia,Ghana,Kenya,Morocco,Mozambique,Nigeria,South Africa,Sudan,Tanzania,Uganda
1960,11424922,5231654,15264846,3673666,26896479,21376693,6961215,7695307,11624933,6713695,45053782,16440172,8364489,9901419,7640973
1961,11628883,5301583,15662374,3810151,27600898,21906102,7162667,7987770,11931085,6834936,45989310,16908035,8634941,10187886,7862217
1962,11800771,5354310,16075724,3956939,28337013,22465126,7337375,8299308,12253092,6969364,46965292,17418522,8919028,10487756,8092231
1963,11982118,5408320,16507599,4112061,29091869,23051637,7514714,8627971,12577502,7109828,47973575,17954564,9218077,10799528,8333663
1964,12179813,5464187,16955327,4273952,29858922,23666548,7695739,8973535,12898886,7255061,49012016,18511361,9531109,11127826,8586363
1965,12365976,5521981,17427802,4442377,30629174,24310612,7882606,9338078,13239171,7406421,50086764,19089380,9858030,11470728,8849203
1966,12590069,5581386,17931929,4617519,31406541,24952689,8074521,9717816,13597065,7562990,51188234,19690087,10197578,11827459,9122864
1967,12876118,5641807,18462782,4799744,32196360,25620276,8271913,10111057,13968175,7724550,52293065,20314066,10550597,12200109,9408924
1968,13172614,5702699,19012189,4990021,32998319,26337930,8475729,10518823,14347899,7892613,53432783,20957287,10917999,12602076,9708632
1969,13475960,5763685,19570445,5192221,33811615,27072571,8690383,10939695,14734255,8066951,54631914,21614676,11298936,13036700,10014858
1970,13783719,5852788,20137436,5411567,34623990,27829128,8925813,11368791,15129449,8250506,55893838,22279984,11695771,13492677,10321603
1971,14098936,5991102,20695569,5650868,35433368,28600106,9176264,11788904,15527225,8456317,57214684,22942143,12105539,13971451,10618206
1972,14427072,6174262,21251160,5909716,36258328,29374608,9438187,12206060,15924692,8692935,58601748,23609456,12527856,14479308,10885796
1973,14771147,6388528,21827665,6184944,37102043,30166785,9714617,12634835,16326269,8954242,60082139,24294263,13049315,15010101,11144236
1974,15133502,6613367,22418878,6474057,37969667,30957273,10000523,13070078,16733842,9236093,61679144,24989108,13580723,15561630,11424846
1975,15678596,6842947,23021101,6776297,38875327,31723252,10294308,13511671,17150786,9540817,63410815,25690940,14064798,16138361,11725240
1976,16409170,7074664,23624031,7057958,39795557,32534418,10594913,13957623,17574182,9867209,65258009,26395450,14569716,16736211,12037294
1977,17015994,7317829,24229061,7321950,40748870,33167272,10911871,14428819,18014756,10224975,67234590,27118952,15086614,17352929,12359669
1978,17506974,7576734,24992689,7603130,41761431,33734592,11248450,14934126,18477385,10618250,69326532,27869507,15695003,17976566,12692113
1979,18036655,7847207,25886782,7902267,42818628,34238652,11597255,15460666,18955589,11028809,71498242,28634162,16355352,18592038,13002163
1980,18607174,8133872,26711099,8220714,43950413,34428514,11941448,16018459,19459943,11336221,73764641,29518857,17058905,19189769,13275741
1981,19220704,8435607,27500515,8556596,45147224,35304012,12281712,16601507,19985401,11568127,76068103,30541044,17780572,19784703,13556452
1982,19872348,8751648,28338190,8907936,46407611,36701290,12643819,17206175,20520318,11824370,78378701,31615339,18486645,20398571,13873631
1983,20558115,9082983,29250963,9272744,47786402,37740817,13029836,17846374,21060696,12073822,80438260,32739304,19109770,21079874,14221881
1984,21271969,9425917,30245081,9650516,49247334,38735722,13370590,18514906,21593778,12315954,82526443,33892788,19546528,21779066,14607677
1985,22008544,9779120,31264816,10040483,50734968,39842136,13661229,19201768,22113953,12548949,84897973,35042093,19905872,22501693,15023681
1986,22745499,10139450,32265196,10440917,52206295,41037656,13965217,19901646,22600803,12770578,87235953,36180515,20288238,23258959,15467579
1987,23443624,10497858,33298904,10851475,53674435,42460039,14289108,20616096,23054392,12822574,89591716,37326190,20704904,24030378,15954170
1988,24109536,10861291,34382752,11275189,55187681,44150825,14636568,21356219,23500524,12800558,92020090,38480649,21138431,24769686,16470483
1989,24754485,11238562,35486866,11719771,56710642,45879690,15006813,22118434,23939414,12906842,94531014,39628575,21578022,25438759,17010698
1990,25375810,11626360,36684063,12189778,58396618,47609755,15394648,22892651,24375551,13094537,97120925,40746268,22021481,26110207,17569897
1991,25987928,12023529,37925817,12683870,60028997,49717198,15787496,23646514,24799014,13352090,99720162,41687898,22470676,26780436,18155901
1992,26628568,12423712,39228910,13200310,61480660,51853747,16184855,24382460,25212468,13613316,102372770,42443509,22927355,27457588,18785032
1993,27277048,12827135,40656336,13735951,62915681,53708891,16589519,25117188,25614586,14051192,105122069,43297156,23445592,28332692,19445161
1994,27887279,13249764,42626876,14287201,64285589,55611508,16993190,25857130,26000822,15033853,107935714,44004139,24043948,29442356,20108801
1995,28470191,13699778,44433704,14855565,65652622,57537335,17399017,26601751,26399429,15960530,110819428,44541554,24672143,30383497,20665667
1996,29033044,14170973,45296124,15442312,67028048,59467635,17810181,27344211,26808107,16492480,113754779,45123018,25231528,30945762,21231550
1997,29579301,14660413,46029902,16047170,68431740,61404539,18238958,28101768,27213337,16949982,116754792,45666838,25799821,31578089,21856046
1998,30054133,15159370,47297600,16663948,69943294,63363524,18688036,28888057,27621648,17340464,119846254,46223880,26458999,32420458,22515806
1999,30474354,15667235,48912971,17215935,71520954,65374561,19149864,29733408,28027179,17734506,123047320,46730335,27130613,33300330,23257281
2000,30903893,16194869,50507442,17699004,73083284,67411494,19637087,30642890,28423435,18129653,126382494,47159719,27816745,34260139,24000150
2001,31331221,16747208,52132646,18178913,74652029,69487762,20167069,31619170,28814643,18537729,129862595,47566800,28516770,35198299,24745676
2002,31750835,17327699,53750524,18654771,76239137,71635517,20729388,32629808,29198142,18958338,133471989,48019415,29228727,36121304,25532870
2003,32175818,17943712,55343867,19125542,77853548,73832663,21296705,33652223,29571415,19392475,137202644,48500348,29896035,37089555,26352124
2004,32628286,18600423,56997741,19595000,79477443,76077206,21868298,34713455,29953018,19840313,141057045,48991421,30556637,38109668,27154515
2005,33109249,19291161,58775724,20068458,81101004,78367470,22449438,35796484,30358144,20304569,145017253,49490033,31262444,39182076,27963289
2006,33623506,20015279,60615908,20546802,82700403,80703490,23040702,36904008,30771178,20787087,149077334,49998277,31992435,40294902,28794003
2007,34189416,20778561,62477752,21030558,84276225,83103217,23642279,38036349,31186468,21287635,153267261,50528584,32764135,41435512,29653430
2008,34816961,21578655,64390664,21514439,85864789,85543668,24249946,39206351,31606767,21819036,157595014,51114599,33623980,42570728,30539553
2009,35490445,22414773,66412044,21997940,87501636,88007636,24862664,40408891,32030778,22391745,162049464,51728516,34569113,43633982,31451151
2010,36188236,23294825,68563038,22488065,89196072,90538514,25474995,41598567,32467016,22999235,166642886,52344051,35414399,44758488,32390802
2011,36903376,24218352,70849311,22982000,91093059,93149970,26095088,42758461,32912588,23649039,171379598,52995205,36140806,46029367,33354543
2012,37646166,25177394,73254618,23467078,93161001,95798767,26734268,43888303,33355241,24337846,176200625,53782567,36923178,47374260,34337438
2013,38414171,26165620,75789395,23939775,95333553,98438751,27386193,44986791,33787571,25051611,181049443,54678791,37785849,48824128,35337042
2014,39205031,27160769,78403242,24527395,97528654,101115610,28041592,46051440,34204780,25788475,185896915,55594838,38823318,50351512,36395539
2015,40019529,28157798,81035531,25246342,99597342,103867135,28696068,47088526,34607588,26547572,190671878,56723537,40024431,52020962,37531446
2016,40850721,29183070,83956415,25989405,101644589,106718162,29356742,48139687,35023457,27337105,195443700,57259551,41259892,53824013,38799152
2017,41689299,30234839,87083398,26733372,103696057,109666481,30008354,49197766,35446392,28166393,200254579,57635162,42714306,55652890,40177388
2018,42505035,31297155,90047644,27464173,105682094,112664152,30637585,50207107,35839760,29018644,204938755,58613001,44230596,57437145,41565831
2019,43294546,32375632,92947442,28193009,107553158,115737383,31258945,51202827,36210898,29884380,209485641,59587885,45548175,59174891,42999637
2020,44042091,33451132,95989998,28915449,109315124,118917671,31887809,52217334,36584208,30783688,213996181,60562381,46789231,60972798,44457152
2021,44761099,34532429,99148932,29639736,110957008,122138588,32518665,53219166,36954442,31707800,218529286,61502603,48066924,62830412,45910930
2022,45477389,35635029,102396968,30395002,112618250,125384287,33149152,54252461,37329064,32656246,223150896,62378410,49383346,64711821,47312719
2023,46164219,36749906,105789731,31165654,114535772,128691692,33787914,55339003,37712505,33635160,227882945,63212384,50042791,66617606,48656601
2024,46814308,37885849,109276265,31934230,116538258,132059767,34427414,56432944,38081173,34631766,232679478,64007187,50448963,68560157,50015092
