Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,DRC,"Congo, Rep.",Cote d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1960,11424922,5231654,2517286,516165,4778621,2764258,210024,5159057,1702346,3049838,197700,15264846,1056732,3673666,86024,26896479,269807,972547,345337,21376693,512316,398060,6961215,3556749,577633,7695307,736500,1139522,1492890,5111029,3628134,5402550,824298,680331,11624933,6713695,591465,3505050,45053782,3022294,68012,3340907,41700,2268356,2876331,16440172,2931559,8364489,9901419,1673110,4267288,7640973,3153729,3809389
1961,11628883,5301583,2559223,527942,4848224,2835119,215087,5239273,1734580,3111947,201201,15662374,1084389,3810151,89390,27600898,274896,995573,353264,21906102,518266,408930,7162667,3619551,582532,7987770,758824,1167717,1555699,5246158,3715534,5482283,846167,680757,11931085,6834936,603067,3608162,45989310,3106779,68707,3436375,42889,2304227,2952054,16908035,2976724,8634941,10187886,1702717,4316278,7862217,3254086,3930401
1962,11800771,5354310,2604659,540186,4919672,2907943,221919,5338620,1768115,3175598,204702,16075724,1113175,3956939,93283,28337013,280286,1019788,361365,22465126,524649,420163,7337375,3684273,589474,8299308,781814,1197039,1621960,5384150,3806307,5563917,869184,700349,12253092,6969364,615759,3714520,46965292,3186025,69403,3534686,44042,2342242,3030091,17418522,3024308,8919028,10487756,1732959,4369136,8092231,3358099,4055959
1963,11982118,5408320,2652908,552966,4993623,2969841,229373,5456623,1803063,3240905,208185,16507599,1143263,4112061,97872,29091869,285965,1045092,369759,23051637,531452,431757,7514714,3750954,594418,8627971,805373,1227414,1690457,5525185,3900506,5646605,893423,718861,12577502,7109828,629589,3823873,47973575,3258890,70112,3635876,45176,2382258,3110361,17954564,3072669,9218077,10799528,1765072,4427131,8333663,3465907,4185877
1964,12179813,5464187,2704003,566266,5071034,3055650,237006,5578257,1839583,3307479,211644,16955327,1174816,4273952,103198,29858922,291942,1071287,378656,23666548,538657,443687,7695739,3819722,588543,8973535,829437,1258745,1753691,5669863,3997305,5730125,918955,736381,12898886,7255061,644530,3935814,49012016,3334834,70865,3740535,46322,2424390,3192796,18511361,3129918,9531109,11127826,1803440,4489869,8586363,3577017,4320006
1965,12365976,5521981,2757936,574664,5152833,3141367,244856,5704686,1877854,3374220,214967,17427802,1207880,4442377,109092,30629174,298238,1098335,388336,24310612,546308,455952,7882606,3890716,575005,9338078,854090,1291156,1804015,5819116,4096157,5815487,945838,753000,13239171,7406421,660558,4049695,50086764,3423210,71680,3849788,47500,2468666,3277874,19089380,3189835,9858030,11470728,1853771,4561385,8849203,3692086,4458462
1966,12590069,5581386,2814317,577866,5237933,3217960,252976,5837295,1918082,3440903,218663,17931929,1242534,4617519,115269,31406541,304859,1124957,398766,24952689,554463,468516,8074521,3964155,566908,9717816,881870,1324383,1849063,5974279,4197926,5902204,974157,768813,13597065,7562990,677655,4165544,51188234,3521626,72576,3964299,48699,2514638,3365106,19690087,3236423,10197578,11827459,1918513,4652287,9122864,3812003,4601217
1967,12876118,5641807,2872997,580933,5326348,3300690,261404,5977318,1960444,3508512,223859,18462782,1278691,4799744,121649,32196360,311805,1152339,409031,25620276,563108,481588,8271913,4040153,569011,10111057,913982,1358435,1898199,6136486,4303012,5990906,1003843,783917,13968175,7724550,696045,4283590,52293065,3629577,73596,4083870,49911,2562384,3454537,20314066,3277648,10550597,12200109,1995890,4760970,9408924,3936343,4748307
1968,13172614,5702699,2934257,583966,5418644,3380387,270164,6125863,2005100,3578231,230244,19012189,1316519,4990021,128250,32998319,318849,1181737,419147,26337930,572257,495269,8475729,4118550,578170,10518823,948105,1393530,1952781,6306493,4411054,6082979,1034739,798413,14347899,7892613,715542,4403637,53432783,3744010,74765,4207587,51134,2611532,3546590,20957287,3321528,10917999,12602076,2080226,4879899,9708632,4065593,4900440
1969,13475960,5763685,2998222,587066,5513177,3454590,279248,6283462,2051515,3651113,237001,19570445,1356182,5192221,136078,33811615,322517,1212005,429875,27072571,583276,509440,8690383,4198300,581610,10939695,983202,1429605,2014293,6484716,4521184,6177704,1066754,812405,14734255,8066951,736120,4525725,54631914,3861271,76083,4334974,52365,2661365,3641015,21614676,3365533,11298936,13036700,2164814,5004697,10014858,4197116,5058181
1970,13783719,5852788,3065057,590334,5610304,3530432,287885,6449793,2097505,3727828,244185,20137436,1397638,5411567,145175,34623990,320803,1243453,441216,27829128,595846,524105,8925813,4277535,584403,11368791,1019273,1466676,2082589,6672003,4633944,6276472,1099806,826000,15129449,8250506,757868,4650275,55893838,3980669,77626,4466328,53600,2712286,3738448,22279984,3409614,11695771,13492677,2244773,5131396,10321603,4321718,5215918
1971,14098936,5991102,3134767,600481,5707999,3617289,294046,6624408,2141450,3807316,251865,20695569,1441039,5650868,155136,35433368,315940,1276154,453183,28600106,608348,539388,9176264,4355200,586221,11788904,1056246,1504077,2153534,6868868,4751434,6377944,1133702,839230,15527225,8456317,780584,4776225,57214684,4100044,79330,4601864,54695,2763222,3837691,22942143,3468646,12105539,13971451,2317976,5261658,10618206,4442525,5374712
1972,14427072,6174262,3207543,622407,5807234,3617128,297386,6806872,2183769,3893252,260077,21251160,1486468,5909716,166256,36258328,309468,1309235,465788,29374608,620960,555370,9438187,4431292,586620,12206060,1094063,1542670,2226091,7074398,4874475,6483726,1168355,852053,15924692,8692935,804399,4904845,58601748,4220335,81041,4741631,56029,2814388,3939436,23609456,3542497,12527856,14479308,2384994,5396557,10885796,4569309,5542445
1973,14771147,6388528,3283496,652408,5911927,3611991,299881,6996660,2226008,3985909,268820,21827665,1533680,6184944,178449,37102043,302281,1342669,479038,30166785,633995,571991,9714617,4506324,592808,12634835,1132697,1583588,2314193,7288048,5003938,6597106,1203838,864819,16326269,8954242,828928,5037865,60082139,4345047,82798,4885181,56892,2866955,4045592,24294263,3627383,13049315,15010101,2448749,5537242,11144236,4702693,5720404
1974,15133502,6613367,3362633,685448,6024904,3703590,302570,7193583,2269338,4078356,278075,22418878,1582301,6474057,192613,37969667,294953,1375688,492988,30957273,647691,589085,10000523,4580510,613338,13070078,1172420,1626362,2432211,7509726,5141337,6715436,1240188,878042,16733842,9236093,854320,5174953,61679144,4474228,84672,5029437,57937,2920459,4151842,24989108,3723259,13580723,15561630,2511760,5684674,11424846,4842746,5908328
1975,15678596,6842947,3445407,720380,6147569,3796612,305847,7397120,2313916,4167234,287692,23021101,1627032,6776297,209908,38875327,287901,1408210,507673,31723252,662197,606821,10294308,4653876,650966,13511671,1213643,1670913,2571556,7739336,5287367,6837261,1277330,892000,17150786,9540817,881032,5317019,63410815,4607728,86708,5170810,59292,2974657,4257535,25690940,3821494,14064798,16138361,2574622,5839262,11725240,4990086,6098658
1976,16409170,7074664,3532196,758508,6280635,3882626,309455,7597962,2348566,4251297,297538,23624031,1667225,7057958,230737,39795557,281031,1443807,523330,32534418,677628,625667,10594913,4727022,694191,13957623,1253214,1717060,2721237,7976831,5443384,6960979,1315336,906507,17574182,9867209,906566,5464962,65258009,4745954,88922,5308564,60504,3028820,4365812,26395450,3921910,14569716,16736211,2637796,5996994,12037294,5143842,6287105
