year,Burundi,Djibouti,Eritrea,Ethiopia,Kenya,Rwanda,Sudan,Somalia,South Sudan,Tanzania,Uganda
1960,2764258,86024,972547,21376693,7695307,3022294,8364489,2876331,2931559,9901419,7640973
1961,2835119,89390,995573,21906102,7987770,3106779,8634941,2952054,2976724,10187886,7862217
1962,2907943,93283,1019788,22465126,8299308,3186025,8919028,3030091,3024308,10487756,8092231
1963,2969841,97872,1045092,23051637,8627971,3258890,9218077,3110361,3072669,10799528,8333663
1964,3055650,103198,1071287,23666548,8973535,3334834,9531109,3192796,3129918,11127826,8586363
1965,3141367,109092,1098335,24310612,9338078,3423210,9858030,3277874,3189835,11470728,8849203
1966,3217960,115269,1124957,24952689,9717816,3521626,10197578,3365106,3236423,11827459,9122864
1967,3300690,121649,1152339,25620276,10111057,3629577,10550597,3454537,3277648,12200109,9408924
1968,3380387,128250,1181737,26337930,10518823,3744010,10917999,3546590,3321528,12602076,9708632
1969,3454590,136078,1212005,27072571,10939695,3861271,11298936,3641015,3365533,13036700,10014858
1970,3530432,145175,1243453,27829128,11368791,3980669,11695771,3738448,3409614,13492677,10321603
1971,3617289,155136,1276154,28600106,11788904,4100044,12105539,3837691,3468646,13971451,10618206
1972,3617128,166256,1309235,29374608,12206060,4220335,12527856,3939436,3542497,14479308,10885796
1973,3611991,178449,1342669,30166785,12634835,4345047,13049315,4045592,3627383,15010101,11144236
1974,3703590,192613,1375688,30957273,13070078,4474228,13580723,4151842,3723259,15561630,11424846
1975,3796612,209908,1408210,31723252,13511671,4607728,14064798,4257535,3821494,16138361,11725240
1976,3882626,230737,1443807,32534418,13957623,4745954,14569716,4365812,3921910,16736211,12037294
1977,3983582,254613,1482565,33167272,14428819,4888240,15086614,4484050,4024032,17352929,12359669
1978,4100338,280031,1522378,33734592,14934126,5035171,15695003,4814892,4127657,17976566,12692113
1979,4203530,304513,1563332,34238652,15460666,5189541,16355352,5449117,4232605,18592038,13002163
1980,4383706,325815,1605797,34428514,16018459,5353259,17058905,5936154,4339030,19189769,13275741
1981,4566014,343047,1649939,35304012,16601507,5527230,17780572,5982849,4447272,19784703,13556452
1982,4681390,356880,1695461,36701290,17206175,5711549,18486645,6003840,4557686,20398571,13873631
1983,4808528,369553,1736160,37740817,17846374,5905311,19109770,6198430,4661574,21079874,14221881
1984,4926465,384053,1771730,38735722,18514906,6107627,19546528,6428389,4750627,21779066,14607677
1985,5034042,402687,1807816,39842136,19201768,6317228,19905872,6693289,4834296,22501693,15023681
1986,5129414,426341,1845164,41037656,19901646,6531881,20288238,6974788,4921240,23258959,15467579
1987,5247787,454399,1888669,42460039,20616096,6749493,20704904,7228302,4962395,24030378,15954170
1988,5365327,484523,1938255,44150825,21356219,6968071,21138431,7235360,4848029,24769686,16470483
1989,5471706,523355,1987017,45879690,22118434,7184706,21578022,7114817,4713229,25438759,17010698
1990,5587052,579538,2032737,47609755,22892651,7375307,22021481,7082811,4737633,26110207,17569897
1991,5703857,631092,1919571,49717198,23646514,7526966,22470676,6813760,4836677,26780436,18155901
1992,5858407,626010,1798748,51853747,24382460,7683266,22927355,6495107,4909749,27457588,18785032
