MatchWeek,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Everton,Fulham,Liverpool,Luton,Man City,Man Utd,Newcastle,Nottingham,Palace,Sheffield Utd,Spurs,West Ham,Wolves
MW_1,3,0,1,1,3,0,1,0,3,1,0,3,3,3,0,3,0,1,1,0
MW_2,6,3,1,4,6,0,1,0,3,4,0,6,3,3,3,3,0,4,4,0
MW_3,7,6,1,5,6,0,4,0,4,7,0,9,6,3,3,4,0,7,7,3
MW_4,10,6,2,6,9,1,4,1,4,10,0,12,6,3,6,7,1,10,10,3
MW_5,13,9,3,6,12,1,5,1,7,13,1,15,6,6,7,7,1,13,10,3
MW_6,14,12,3,6,15,1,5,4,8,16,4,18,9,9,7,8,1,14,10,4
MW_7,17,15,3,7,15,4,8,4,8,16,4,18,9,12,8,11,1,17,13,7
MW_8,20,16,3,7,16,4,11,7,11,17,4,18,12,13,9,12,1,20,14,8
MW_9,21,19,3,10,16,4,12,7,11,20,5,21,15,16,10,12,1,23,14,11
MW_10,24,22,6,13,17,4,12,10,12,23,5,24,15,17,10,12,1,26,14,12
MW_11,24,22,6,16,18,4,15,11,12,24,6,27,18,20,13,15,4,26,14,12
MW_12,27,25,9,16,19,4,16,14,12,27,6,28,21,20,13,15,5,26,17,15
MW_13,30,28,12,16,22,4,16,14,15,28,9,29,24,23,13,15,5,26,20,15
MW_14,33,29,13,19,22,7,19,17,15,31,9,30,24,26,13,16,5,27,21,15
MW_15,36,32,16,19,25,7,19,20,18,34,9,30,27,26,13,16,5,27,24,18
MW_16,36,35,19,19,26,8,19,23,21,37,9,33,27,26,14,16,8,30,24,19
MW_17,39,38,22,19,26,8,22,26,21,38,12,34,28,29,14,17,8,33,27,19
MW_18,40,39,25,19,27,11,22,26,21,39,15,37,28,29,14,18,9,36,30,22
MW_19,40,39,25,19,30,11,25,26,21,42,15,40,31,29,17,18,9,36,33,25
MW_20,40,42,25,22,31,11,28,26,24,45,16,43,31,29,20,21,9,39,34,28
MW_21,43,43,26,22,32,12,31,27,24,48,19,46,32,29,20,21,10,40,35,29
MW_22,46,43,27,22,32,12,31,28,25,51,20,49,35,32,20,24,10,43,36,29
MW_23,49,46,27,25,35,13,31,29,26,51,20,52,38,33,21,24,10,44,36,32
MW_24,52,46,28,25,35,13,34,29,29,54,20,53,41,36,21,24,13,47,36,32
MW_25,55,49,28,25,38,13,35,30,29,57,20,56,44,37,24,25,13,47,36,35
MW_26,58,52,31,25,39,13,36,31,32,60,20,59,44,37,24,28,13,50,39,38
MW_27,61,55,32,26,39,13,39,31,35,63,21,62,44,40,24,28,13,53,42,38
MW_28,64,55,35,26,42,14,40,31,35,64,21,63,47,40,24,29,14,53,43,41
MW_29,65,56,38,26,42,17,43,31,38,67,22,64,48,43,25,30,15,56,44,41
MW_30,68,59,41,27,43,18,44,32,39,70,22,67,48,44,26,30,15,57,44,42
MW_31,71,59,41,28,43,19,47,35,39,71,22,70,49,47,29,30,16,60,45,42
MW_32,71,60,42,29,44,19,47,35,39,71,25,73,50,50,29,33,16,60,48,43
MW_33,74,63,42,32,44,20,48,38,42,74,25,76,53,50,30,36,16,60,48,43
MW_34,77,66,45,35,44,23,51,41,42,74,25,79,54,53,30,39,16,60,48,43
MW_35,80,67,48,35,47,24,54,44,43,75,25,82,54,56,30,40,16,60,49,46
MW_36,83,67,48,36,48,24,57,45,44,78,26,85,54,57,33,43,16,63,49,46
MW_37,86,68,48,39,48,24,60,48,44,79,26,88,57,57,33,46,16,63,52,46
MW_38,89,68,48,39,48,24,63,48,47,82,26,91,60,60,36,49,16,66,52,46
